ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
26;Uomo;45-54 anni;sud;da 5001 a 10000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;a sinistra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;mai;piccoli centri;con tranquillita';Occupato;Dipendenti;Privato;Bassa;GENERAZIONE X;Cattolico non praticante;2,71
27;Uomo;35-44 anni;sud;da 10001 a 30000 abitanti;laurea;vive con i genitori;quadro/direttivo/tecnico;a centro sinistra;Italiana;Si';Si, abbastanza;No, sarei contrario;non sono credente;citta' medie;con tranquillita';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;non credente;0,19
28;Donna;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia senza figli;casalinga;al centro;Italiana;Non saprei;Si, abbastanza;Non saprei;2/3 volte alla settimana;periferia;con tranquillita';Non occupato;Casalinghe;;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,72
29;Donna;oltre 64 anni;centro;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;mai;citta' medie;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Pubblico;Bassa;SILENT;Cattolico non praticante;0,71
30;Donna;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;vive da solo +55 anni;casalinga;a sinistra;Italiana;Si';Si, molto;Si, abbastanza;la domenica;altro;con tranquillita';Non occupato;Casalinghe;;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,4
31;Donna;55-64 anni;sud;oltre 250000 abitanti;laurea;coppia senza figli;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Si, molto;No, sarei molto contrario;alcune volte l'anno;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,15
32;Donna;oltre 64 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;No;Non saprei;Non saprei;una volta al mese;altro;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,57
33;Uomo;25-34 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;impiegato;a sinistra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;la domenica;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);0,24
34;Donna;55-64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';No, sarei contrario;No, sarei contrario;mai;citta' medie;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;0,41
35;Donna;45-54 anni;centro;oltre 250000 abitanti;laurea;vive da solo 35-54 anni;imprenditore;a centro destra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;non credente;0,24
36;Donna;35-44 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;a sinistra;Italiana;Si';Si, molto;Si, molto;la domenica;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,61
37;Uomo;45-54 anni;sud;da 5001 a 10000 abitanti;laurea;coppia con figli;operaio;al centro;Italiana;Si';Si, molto;No, sarei contrario;in occasione delle principali feste;altro;avverto difficolta';Occupato;Operai;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,9
38;Uomo;45-54 anni;nord-est;fino a 5000 abitanti;no laurea;coppia senza figli;operaio;preferisco non rispondere;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;mai;piccoli centri;avverto difficolta';Occupato;Operai;Privato;Media;GENERAZIONE X;Cattolico non praticante;2,67
39;Donna;oltre 64 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;casalinga;a centro sinistra;Italiana;No;Non saprei;No, sarei molto contrario;la domenica;periferia;con tranquillita';Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,01
40;Uomo;35-44 anni;centro;da 10001 a 30000 abitanti;no laurea;vive da solo 35-54 anni;quadro/direttivo/tecnico;a destra;Italiana;Si';Si, abbastanza;No, sarei contrario;una volta al mese;altro;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);1,34
41;Uomo;35-44 anni;sud;oltre 250000 abitanti;laurea;vive da solo 35-54 anni;quadro/direttivo/tecnico;in nessuna area politica;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,74
42;Donna;55-64 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;disoccupato (ex-occupato);a centro sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;alcune volte l'anno;periferia;con tranquillita';Non occupato;Disoccupati;Privato;Bassa;GENERAZIONE X;Cattolico non praticante;0,61
43;Uomo;oltre 64 anni;sud;da 100001 a 250000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;Si, molto;mai;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,16
44;Uomo;25-34 anni;isole;oltre 250000 abitanti;laurea;vive da solo 18-34 anni;impiegato;a sinistra;Italiana;Si';Si, molto;No, sarei contrario;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;non credente;0,3
45;Uomo;55-64 anni;nord-ovest;fino a 5000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;Si, molto;alcune volte l'anno;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,97
46;Donna;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;al centro;Italiana;Si';No, sarei contrario;No, sarei contrario;alcune volte l'anno;altro;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;2,39
47;Uomo;55-64 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia con figli;altro lavoratore dipendente;al centro;Italiana;Non saprei;Si, abbastanza;Si, abbastanza;preferisco non rispondere;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;;0,25
48;Donna;oltre 64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';No, sarei contrario;Si, abbastanza;la domenica;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);2,01
49;Uomo;35-44 anni;sud;oltre 250000 abitanti;no laurea;vive da solo 35-54 anni;libero professionista;a centro sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;non sono credente;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Occupato;Autonomi;;Media;MILLENNIALS;non credente;0,38
50;Uomo;35-44 anni;nord-est;da 5001 a 10000 abitanti;laurea;coppia con figli;imprenditore;a centro destra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;preferisco non rispondere;piccoli centri;avverto difficolta';Occupato;Autonomi;;Alta;GENERAZIONE X;;0,2
51;Donna;35-44 anni;centro;da 30001 a 100000 abitanti;laurea;single vive con altre persone (amici, parenti);altro lavoratore dipendente;al centro;Italiana;No;No, sarei contrario;No, sarei molto contrario;la domenica;altro;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);1,18
52;Uomo;35-44 anni;centro;da 30001 a 100000 abitanti;laurea;coppia senza figli;impiegato;in nessuna area politica;Italiana;Si';Si, abbastanza;Si, abbastanza;alcune volte l'anno;citta' medie;con tranquillita';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;Cattolico non praticante;0,23
53;Donna;45-54 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;vive da solo 35-54 anni;impiegato;a centro sinistra;Italiana;No;Si, abbastanza;No, sarei contrario;mai;altro;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,52
54;Donna;45-54 anni;nord-ovest;da 5001 a 10000 abitanti;laurea;coppia con figli;dirigente;a sinistra;Italiana;Si';Si, molto;Si, abbastanza;mai;piccoli centri;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,17
55;Uomo;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;Si, molto;la domenica;altro;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,47
56;Uomo;35-44 anni;isole;da 30001 a 100000 abitanti;laurea;coppia senza figli;impiegato;a destra;Italiana;Si';Si, abbastanza;Si, molto;non sono credente;periferia;con tranquillita';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;non credente;1,06
57;Uomo;45-54 anni;sud;da 100001 a 250000 abitanti;no laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';No, sarei contrario;No, sarei molto contrario;alcune volte l'anno;periferia;arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;0,71
58;Uomo;35-44 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;altro lavoratore dipendente;in nessuna area politica;Italiana;Si';Si, molto;Si, molto;la domenica;periferia;arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);2,21
59;Uomo;35-44 anni;nord-est;da 30001 a 100000 abitanti;laurea;coppia senza figli;impiegato;a centro sinistra;Italiana;Si';Si, molto;Si, molto;mai;altro;avverto difficolta';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;Cattolico non praticante;0,21
60;Uomo;55-64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia senza figli;impiegato;a centro destra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;1,29
61;Uomo;45-54 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;libero professionista;in nessuna area politica;Italiana;Non saprei;Si, abbastanza;No, sarei contrario;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;non credente;0,26
62;Uomo;55-64 anni;sud;da 5001 a 10000 abitanti;no laurea;vive da solo +55 anni;disoccupato (ex-occupato);a sinistra;Italiana;Si';Si, molto;Si, molto;non sono credente;altro;arrivo a fine mese con molte difficolta';Non occupato;Disoccupati;Privato;Media;BABY BOOMERS;non credente;0,77
63;Uomo;45-54 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia senza figli;altro lavoratore autonomo/agente di commercio/rappresentante;a centro destra;Italiana;Si';Si, abbastanza;No, sarei molto contrario;alcune volte l'anno;periferia;avverto difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;1,47
64;Uomo;45-54 anni;sud;da 100001 a 250000 abitanti;no laurea;coppia con figli;impiegato;a sinistra;Italiana;Si';Si, molto;No, sarei contrario;alcune volte l'anno;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,71
65;Uomo;45-54 anni;sud;oltre 250000 abitanti;no laurea;coppia con figli;libero professionista;in nessuna area politica;Italiana;Si';No, sarei contrario;Si, molto;alcune volte l'anno;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;0,67
66;Uomo;oltre 64 anni;sud;fino a 5000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;No, sarei contrario;la domenica;piccoli centri;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;SILENT;Cattolico praticante (fino a 1 volta al mese);0,24
67;Donna;oltre 64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;casalinga;a sinistra;Italiana;Non saprei;Non saprei;Non saprei;mai;periferia;arrivo a fine mese con molte difficolta';Non occupato;Casalinghe;;Bassa;SILENT;Cattolico non praticante;0,59
68;Uomo;55-64 anni;nord-est;fino a 5000 abitanti;laurea;genitore solo, con figli;impiegato;a centro sinistra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;la domenica;piccoli centri;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,24
69;Donna;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;preferisco non rispondere;Italiana;Si';Non saprei;Si, abbastanza;in occasione delle principali feste;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;2,72
70;Donna;55-64 anni;nord-ovest;da 5001 a 10000 abitanti;laurea;coppia con figli;libero professionista;in nessuna area politica;Italiana;Non saprei;Si, abbastanza;No, sarei contrario;una volta al mese;piccoli centri;agiatamente;Occupato;Autonomi;;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,78
71;Uomo;oltre 64 anni;isole;da 10001 a 30000 abitanti;no laurea;coppia senza figli;artigiano/familiare coadiuvante;a centro destra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;in occasione delle principali feste;periferia;con tranquillita';Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico non praticante;1,4
72;Uomo;35-44 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia con figli;impiegato;a centro destra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;mai;piccoli centri;con tranquillita';Occupato;Dipendenti;Privato;Media;MILLENNIALS;Cattolico non praticante;1,22
73;Uomo;45-54 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia senza figli;docente/insegnante di scuola superiore;a sinistra;Italiana;Si';Si, molto;Si, molto;mai;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,23
74;Donna;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;mai;altro;avverto difficolta';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,46
75;Uomo;55-64 anni;centro;da 10001 a 30000 abitanti;laurea;coppia con figli;dirigente;a sinistra;Italiana;Si';Si, molto;Si, molto;mai;citta' medie;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,18
76;Donna;45-54 anni;nord-ovest;fino a 5000 abitanti;no laurea;coppia con figli;casalinga;al centro;Italiana;Si';No, sarei contrario;No, sarei contrario;la domenica;piccoli centri;avverto difficolta';Non occupato;Casalinghe;;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);2
77;Donna;oltre 64 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;No, sarei molto contrario;No, sarei molto contrario;mai;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,24
78;Donna;55-64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;alcune volte l'anno;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,61
79;Uomo;oltre 64 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Non saprei;No, sarei molto contrario;mai;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,42
80;Uomo;55-64 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia senza figli;quadro/direttivo/tecnico;a centro sinistra;Italiana;No;No, sarei contrario;No, sarei contrario;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,32
81;Donna;35-44 anni;centro;da 30001 a 100000 abitanti;laurea;coppia senza figli;libero professionista;in nessuna area politica;Italiana;Si';Si, molto;Si, abbastanza;non sono credente;periferia;con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;non credente;1,18
82;Uomo;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;non sono credente;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;non credente;0,71
83;Uomo;oltre 64 anni;sud;da 100001 a 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;No, sarei contrario;alcune volte l'anno;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,68
84;Donna;55-64 anni;nord-ovest;oltre 250000 abitanti;no laurea;vive da solo +55 anni;imprenditore;a centro destra;Italiana;No;No, sarei contrario;No, sarei contrario;alcune volte l'anno;periferia;con tranquillita';Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico non praticante;1,36
85;Uomo;oltre 64 anni;nord-est;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Non saprei;Si, molto;No, sarei contrario;alcune volte l'anno;aree centrali di grandi citta';avverto difficolta';Non occupato;Pensionati;Pubblico;Alta;SILENT;Cattolico non praticante;0,27
86;Uomo;35-44 anni;sud;da 30001 a 100000 abitanti;laurea;vive con i genitori;libero professionista;in nessuna area politica;Italiana;Si';Si, molto;Si, abbastanza;in occasione delle principali feste;altro;avverto difficolta';Occupato;Autonomi;;Alta;MILLENNIALS;Cattolico non praticante;0,19
87;Uomo;35-44 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;operaio;a centro sinistra;Italiana;Si';Non saprei;Si, abbastanza;alcune volte l'anno;periferia;avverto difficolta';Occupato;Operai;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,66
88;Uomo;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, abbastanza;No, sarei contrario;la domenica;altro;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,74
89;Uomo;35-44 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;impiegato;a centro destra;Italiana;Non saprei;Si, abbastanza;No, sarei contrario;in occasione delle principali feste;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,88
