ID;Q003;Q004;Q005;Q006;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q018;Q019;Q020;Q021;Q022;Q023;Q024;peso
28;Donna;35-44 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;impiegato;a centro destra;Italiana;Si';Non saprei;la domenica;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);0,65
29;Uomo;45-54 anni;centro;oltre 250000 abitanti;laurea;coppia senza figli;quadro/direttivo/tecnico;a sinistra;Italiana;Non saprei;Si, abbastanza;mai;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,17
30;Donna;oltre 64 anni;sud;fino a 5000 abitanti;no laurea;coppia con figli;casalinga;preferisco non rispondere;Italiana;No;No, sarei contrario;la domenica;piccoli centri;con tranquillita';Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,54
31;Donna;55-64 anni;sud;oltre 250000 abitanti;laurea;coppia senza figli;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Si, molto;alcune volte l'anno;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,15
32;Donna;oltre 64 anni;nord-ovest;oltre 250000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;alcune volte l'anno;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;0,66
33;Donna;35-44 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;operaio;al centro;Italiana;Si';Si, abbastanza;in occasione delle principali feste;citta' medie;con tranquillita';Occupato;Operai;Pubblico;Bassa;MILLENNIALS;Cattolico non praticante;0,86
34;Donna;oltre 64 anni;isole;da 100001 a 250000 abitanti;laurea;genitore solo, con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;la domenica;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Pubblico;Alta;SILENT;Cattolico praticante (fino a 1 volta al mese);0,23
35;Donna;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a sinistra;Italiana;No;Si, molto;in occasione delle principali feste;citta' medie;avverto difficolta';Non occupato;Pensionati;Privato;Bassa;SILENT;Cattolico non praticante;2,11
36;Uomo;45-54 anni;centro;da 30001 a 100000 abitanti;laurea;coppia con figli;libero professionista;a centro destra;Italiana;No;No, sarei molto contrario;la domenica;altro;con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,41
37;Donna;oltre 64 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;preferisco non rispondere;Italiana;Non saprei;No, sarei molto contrario;preferisco non rispondere;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;;0,95
38;Donna;35-44 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia con figli;impiegato;a sinistra;Italiana;Si';Si, abbastanza;mai;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,89
39;Donna;45-54 anni;sud;oltre 250000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,17
40;Donna;45-54 anni;nord-ovest;oltre 250000 abitanti;no laurea;"genitore solo, vive con figlio/figli e genitori&nbsp;";altro (non occupato);a sinistra;Italiana;Si';Si, molto;alcune volte l'anno;periferia;arrivo a fine mese con molte difficolta';Non occupato;Disoccupati;;Media;GENERAZIONE X;Cattolico non praticante;0,4
41;Donna;45-54 anni;nord-est;oltre 250000 abitanti;laurea;vive da solo 35-54 anni;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Non saprei;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;non credente;0,16
42;Donna;oltre 64 anni;centro;oltre 250000 abitanti;laurea;vive da solo +55 anni;libero professionista;a sinistra;Italiana;Si';Si, molto;alcune volte l'anno;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Alta;BABY BOOMERS;Cattolico non praticante;0,24
43;Uomo;oltre 64 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';No, sarei molto contrario;mai;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;SILENT;Cattolico non praticante;0,55
44;Uomo;45-54 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;citta' medie;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;0,63
45;Donna;oltre 64 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;Si, abbastanza;la domenica;altro;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,43
46;Uomo;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;Si, molto;una volta al mese;citta' medie;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,84
47;Uomo;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;no laurea;coppia senza figli;impiegato;a centro destra;Italiana;Non saprei;Si, molto;alcune volte l'anno;periferia;avverto difficolta';Occupato;Dipendenti;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;1,79
48;Uomo;45-54 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;artigiano/familiare coadiuvante;a centro destra;Italiana;Si';Non saprei;in occasione delle principali feste;citta' medie;arrivo a fine mese con molte difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;1,04
49;Uomo;oltre 64 anni;sud;da 100001 a 250000 abitanti;laurea;single vive con altre persone (amici, parenti);ritirato dal lavoro/pensionato;a centro destra;Italiana;No;No, sarei contrario;la domenica;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,74
50;Uomo;oltre 64 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;non sono credente;periferia;con tranquillita';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;non credente;0,29
51;Donna;oltre 64 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;No;Si, abbastanza;alcune volte l'anno;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico non praticante;0,5
52;Donna;55-64 anni;isole;da 10001 a 30000 abitanti;no laurea;coppia senza figli;artigiano/familiare coadiuvante;a destra;Italiana;Si';No, sarei molto contrario;in occasione delle principali feste;periferia;con tranquillita';Occupato;Autonomi;;Media;BABY BOOMERS;Cattolico non praticante;0,78
53;Donna;45-54 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';No, sarei contrario;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;2,23
54;Uomo;55-64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;impiegato;a destra;Italiana;Si';Si, molto;la domenica;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,8
55;Donna;35-44 anni;nord-ovest;da 5001 a 10000 abitanti;laurea;genitore solo, con figli;impiegato;a sinistra;Italiana;Si';Si, abbastanza;non sono credente;piccoli centri;avverto difficolta';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;non credente;0,21
56;Uomo;45-54 anni;centro;da 30001 a 100000 abitanti;no laurea;genitore solo, con figli;operaio;in nessuna area politica;Italiana;Si';Si, molto;non sono credente;periferia;mi sento povero e non arrivo mai a fine mese;Occupato;Operai;Privato;Media;GENERAZIONE X;non credente;0,68
57;Uomo;55-64 anni;centro;da 10001 a 30000 abitanti;laurea;coppia con figli;libero professionista;al centro;Italiana;Si';Si, abbastanza;la domenica;citta' medie;avverto difficolta';Occupato;Autonomi;;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,48
58;Donna;55-64 anni;centro;da 10001 a 30000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a centro sinistra;Italiana;Non saprei;Si, abbastanza;alcune volte l'anno;altro;con tranquillita';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,23
59;Donna;45-54 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia con figli;casalinga;a centro sinistra;Italiana;Si';Si, molto;la domenica;periferia;arrivo a fine mese con molte difficolta';Non occupato;Casalinghe;;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,41
60;Donna;35-44 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia con figli;impiegato;in nessuna area politica;Italiana;Si';Si, abbastanza;preferisco non rispondere;piccoli centri;con tranquillita';Occupato;Dipendenti;Privato;Media;MILLENNIALS;;1,3
61;Uomo;35-44 anni;isole;da 30001 a 100000 abitanti;laurea;coppia senza figli;impiegato;a destra;Italiana;No;Si, abbastanza;mai;citta' medie;con tranquillita';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;Cattolico non praticante;1,3
62;Uomo;45-54 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia senza figli;impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;mai;altro;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;0,91
63;Uomo;35-44 anni;sud;da 10001 a 30000 abitanti;no laurea;coppia con figli;impiegato;in nessuna area politica;Italiana;Si';Si, molto;la domenica;periferia;arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);3,04
64;Uomo;45-54 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;in nessuna area politica;Italiana;No;No, sarei molto contrario;alcune volte l'anno;aree centrali di grandi citta';agiatamente;Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,8
65;Uomo;45-54 anni;isole;oltre 250000 abitanti;laurea;coppia senza figli;quadro/direttivo/tecnico;in nessuna area politica;Italiana;Non saprei;Non saprei;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;non credente;1,33
66;Uomo;oltre 64 anni;isole;da 100001 a 250000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a sinistra;Italiana;Si';Si, molto;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;0,44
67;Uomo;55-64 anni;centro;fino a 5000 abitanti;no laurea;genitore solo, con figli;operaio;a centro destra;Italiana;Si';No, sarei contrario;mai;piccoli centri;avverto difficolta';Occupato;Operai;Pubblico;Bassa;BABY BOOMERS;Cattolico non praticante;1,5
68;Uomo;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;mai;citta' medie;con tranquillita';Non occupato;Pensionati;Privato;Alta;SILENT;Cattolico non praticante;0,26
69;Donna;25-34 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia con figli;libero professionista;a centro sinistra;Italiana;Non saprei;Si, abbastanza;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Alta;MILLENNIALS;non credente;0,12
70;Donna;35-44 anni;centro;da 30001 a 100000 abitanti;no laurea;coppia con figli;casalinga;preferisco non rispondere;Italiana;Si';Si, molto;mai;periferia;avverto difficolta';Non occupato;Casalinghe;;Bassa;MILLENNIALS;Cattolico non praticante;1,88
71;Uomo;45-54 anni;sud;oltre 250000 abitanti;no laurea;coppia con figli;docente/insegnante di scuola superiore;a centro sinistra;Italiana;Si';Si, molto;in occasione delle principali feste;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;0,59
72;Donna;55-64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia senza figli;casalinga;a centro sinistra;Italiana;Si';Si, molto;alcune volte l'anno;periferia;con tranquillita';Non occupato;Casalinghe;;Bassa;BABY BOOMERS;Cattolico non praticante;0,73
73;Uomo;45-54 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia con figli;quadro/direttivo/tecnico;a centro destra;Italiana;No;Si, abbastanza;in occasione delle principali feste;piccoli centri;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;1,17
74;Donna;oltre 64 anni;isole;da 10001 a 30000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';No, sarei molto contrario;in occasione delle principali feste;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;1,41
75;Uomo;oltre 64 anni;nord-est;fino a 5000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;mai;piccoli centri;con tranquillita';Non occupato;Pensionati;Pubblico;Bassa;SILENT;Cattolico non praticante;0,84
76;Donna;oltre 64 anni;isole;da 30001 a 100000 abitanti;no laurea;genitore solo, con figli;ritirato dal lavoro/pensionato;preferisco non rispondere;Italiana;Non saprei;Non saprei;in occasione delle principali feste;periferia;avverto difficolta';Non occupato;Pensionati;Pubblico;Media;SILENT;Cattolico non praticante;1,1
77;Uomo;oltre 64 anni;nord-est;da 10001 a 30000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;Si, molto;alcune volte l'anno;citta' medie;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,29
78;Uomo;45-54 anni;nord-est;da 100001 a 250000 abitanti;no laurea;coppia con figli;quadro/direttivo/tecnico;a centro destra;Italiana;Si';No, sarei contrario;la domenica;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,91
79;Uomo;25-34 anni;sud;da 10001 a 30000 abitanti;laurea;vive da solo 18-34 anni;libero professionista;a sinistra;Italiana;Si';Si, abbastanza;mai;periferia;con tranquillita';Occupato;Autonomi;;Alta;MILLENNIALS;Cattolico non praticante;0,35
80;Uomo;55-64 anni;sud;da 10001 a 30000 abitanti;no laurea;single vive con altre persone (amici, parenti);impiegato;a sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;citta' medie;con tranquillita';Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,8
81;Uomo;oltre 64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, abbastanza;non sono credente;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;non credente;0,75
82;Uomo;oltre 64 anni;centro;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';Si, abbastanza;la domenica;citta' medie;con tranquillita';Non occupato;Pensionati;Privato;Media;SILENT;Cattolico praticante (fino a 1 volta al mese);1,9
83;Uomo;45-54 anni;centro;da 30001 a 100000 abitanti;no laurea;coppia con figli;operaio;al centro;Italiana;Non saprei;Si, molto;la domenica;altro;con tranquillita';Occupato;Operai;Privato;Bassa;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,49
84;Uomo;oltre 64 anni;nord-est;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;No;No, sarei molto contrario;in occasione delle principali feste;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Bassa;SILENT;Cattolico non praticante;1,79
85;Uomo;45-54 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;impiegato;al centro;Italiana;No;No, sarei molto contrario;in occasione delle principali feste;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,25
86;Donna;oltre 64 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;No;Si, abbastanza;alcune volte l'anno;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Media;SILENT;Cattolico non praticante;1,4
87;Donna;55-64 anni;nord-est;da 10001 a 30000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Si, molto;mai;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,73
88;Uomo;55-64 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;dirigente;a destra;Italiana;No;No, sarei contrario;una volta al mese;periferia;con tranquillita';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,59
89;Uomo;45-54 anni;isole;oltre 250000 abitanti;no laurea;coppia con figli;commerciante;a destra;Italiana;Si';Non saprei;in occasione delle principali feste;aree centrali di grandi citta';avverto difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;3,84
90;Uomo;35-44 anni;nord-est;da 5001 a 10000 abitanti;no laurea;coppia con figli;altro lavoratore dipendente;in nessuna area politica;Italiana;Non saprei;No, sarei molto contrario;mai;piccoli centri;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;0,72
91;Uomo;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';No, sarei contrario;2/3 volte alla settimana;periferia;con tranquillita';Non occupato;Pensionati;Privato;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,59
92;Donna;oltre 64 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia senza figli;altro (non occupato);a centro sinistra;Italiana;Si';Si, molto;mai;citta' medie;arrivo a fine mese con molte difficolta';Non occupato;Disoccupati;;Media;BABY BOOMERS;Cattolico non praticante;0,43
93;Donna;oltre 64 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;al centro;Italiana;Si';No, sarei contrario;alcune volte l'anno;periferia;arrivo a fine mese con molte difficolta';Non occupato;Pensionati;Pubblico;Bassa;SILENT;Cattolico non praticante;0,66
94;Uomo;55-64 anni;sud;fino a 5000 abitanti;no laurea;coppia con figli;imprenditore;in nessuna area politica;Italiana;Si';Si, abbastanza;non sono credente;piccoli centri;arrivo a fine mese con molte difficolta';Occupato;Autonomi;;Media;BABY BOOMERS;non credente;0,76
